('http://www.cnblogs.com/powercto/', '[狼爷]')
('http://www.cnblogs.com/huaweiyun/', '[华为云开发者社区]')
('http://www.cnblogs.com/codists/', '[codists]')
('http://www.cnblogs.com/javastack/', '[Java技术栈]')
('http://www.cnblogs.com/xfrog/', '[xfrog]')
('http://www.cnblogs.com/ittranslator/', '[技术译民]')
('http://www.cnblogs.com/kklldog/', '[Agile.Zhou]')
('http://www.cnblogs.com/Fengge518/', '[天天向上518]')
('http://www.cnblogs.com/seven0007/', '[Seven0007]')
('http://www.cnblogs.com/rangers-sun/', '[列兵许三多]')
('http://www.cnblogs.com/fei-hui/', '[飞灰同学]')
('http://www.cnblogs.com/Ukiii/', '[Yuki-lsq]')
('http://www.cnblogs.com/xiaofuge/', '[小傅哥]')
('http://www.cnblogs.com/detectiveHLH/', '[detectiveHLH]')
('http://www.cnblogs.com/wzk153/', '[暗断肠]')
('http://www.cnblogs.com/vivotech/', '[vivo互联网技术]')
('http://www.cnblogs.com/apocelipes/', '[apocelipes]')
('http://www.cnblogs.com/miki-peng/', '[miki_peng]')
('http://www.cnblogs.com/jimuzz/', '[jimuzz]')
('http://www.cnblogs.com/susouth/', '[漫画前端∙苏南]')
('http://www.cnblogs.com/kiba/', '[kiba518]')
('http://www.cnblogs.com/alchemystar/', '[无毁的湖光-Al]')
('http://www.cnblogs.com/zhaohongcheng/', '[Tz一号]')
('http://www.cnblogs.com/hollischuang/', '[HollisChuang]')
('http://www.cnblogs.com/yan7/', '[莫问今朝·]')
('http://www.cnblogs.com/zmk-c/', '[_清风拂山岗]')
('http://www.cnblogs.com/flydean/', '[flydean]')
('http://www.cnblogs.com/ricklz/', '[Rick.lz]')
('http://www.cnblogs.com/cmt/', '[博客园团队]')
('http://www.cnblogs.com/tcyhost/', '[Shaun_Yao]')
('http://www.cnblogs.com/talkaudiodev/', '[davidtym]')
('http://www.cnblogs.com/mqingqing123/', '[启明星工作室]')
('http://www.cnblogs.com/han-1034683568/', '[我是13]')
('http://www.cnblogs.com/SavionZhang/', '[张传宁]')
('http://www.cnblogs.com/youzhibing/', '[青石路]')
('http://www.cnblogs.com/char-z/', '[Char-z]')
('http://www.cnblogs.com/jianzh5/', '[JAVA日知录]')
('http://www.cnblogs.com/vipstone/', '[Java中文社群]')
('http://www.cnblogs.com/cicada-smile/', '[知了一笑]')
('http://www.cnblogs.com/kevinwan/', '[Kevin Wan]')
('http://www.cnblogs.com/sabai/', '[飒白]')
('http://www.cnblogs.com/cathyqq/', '[是倩倩不是欠欠]')
('http://www.cnblogs.com/chanshuyi/', '[陈树义]')
('http://www.cnblogs.com/wucy/', '[yi念之间]')
('http://www.cnblogs.com/lyosaki88/', '[丶谦信]')
('http://www.cnblogs.com/dechinphy/', '[陆言君]')
('http://www.cnblogs.com/ninejy/', '[运维工作栈]')
('http://www.cnblogs.com/ElderJames/', '[Elder_James]')
('http://www.cnblogs.com/spritekuang/', '[spritekuang]')
('http://www.cnblogs.com/4thrun/', '[4thrun]')
('http://www.cnblogs.com/Fireflycjd/', '[Fireflycjd]')
('http://www.cnblogs.com/huansky/', '[huansky]')
('http://www.cnblogs.com/xiaoxiaojiea/', '[小小猿笔记]')
('http://www.cnblogs.com/pengjiali/', '[彭加李]')
('http://www.cnblogs.com/deatharthas/', '[老胡写代码]')
('http://www.cnblogs.com/feffery/', '[费弗里]')
('http://www.cnblogs.com/linzm14/', '[十四lin]')
('http://www.cnblogs.com/neilhu/', '[NeilHu]')
('http://www.cnblogs.com/onlyblues/', '[onlyblues]')
('http://www.cnblogs.com/zhxdick/', '[干货满满张哈希]')
('http://www.cnblogs.com/Jacob98/', '[Jacob是我了]')
('http://www.cnblogs.com/leitang/', '[程序猿石头]')
('http://www.cnblogs.com/process-h/', '[寻找的路上]')
('http://www.cnblogs.com/yif0118/', '[人无名，则可专心练剑]')
('http://www.cnblogs.com/MSReactor/', '[MicrosoftReactor]')
('http://www.cnblogs.com/lwc1st/', '[刘大大。]')
('http://www.cnblogs.com/WTa0/', '[WTa0]')
('http://www.cnblogs.com/linuxAndMcu/', '[fengMisaka]')
('http://www.cnblogs.com/leiziv5/', '[北漂的雷子]')
('http://www.cnblogs.com/byur/', '[去骨鸡腿排]')
('http://www.cnblogs.com/xiximayou/', '[西西嘛呦]')
('http://www.cnblogs.com/v587-666/', '[敲代码的小小酥]')
('http://www.cnblogs.com/cjsblog/', '[废物大师兄]')
('http://www.cnblogs.com/powercto/', '[狼爷]')
('http://www.cnblogs.com/leeee/', '[小菜鸡Lee]')
('http://www.cnblogs.com/hanj4096/', '[hanj4096]')
('http://www.cnblogs.com/cscw/', '[潜行前行]')
('http://www.cnblogs.com/dynmi/', '[dynmi]')
('http://www.cnblogs.com/ZhuChangwu/', '[赐我白日梦]')
('http://www.cnblogs.com/shiraka/', '[Shiraka]')
('http://www.cnblogs.com/NaLanZiYi-LinEr/', '[纳兰小依]')
